table,year,version,row,column,level,se,state
2,2012,Final,1982,Cropland,4474.3,91.6836734693878,AL
2,2012,Final,1982,CRP land,NA,NA,AL
2,2012,Final,1982,Forest land,20855.8,93.8775510204082,AL
2,2012,Final,1982,Other rural land,524.4,39.3367346938775,AL
2,2012,Final,1982,Pastureland,3789.4,101.632653061224,AL
2,2012,Final,1982,Rangeland,70.3,27.2448979591837,AL
2,2012,Final,1982,Total rural land,29714.2,58.0612244897959,AL
2,2012,Final,1987,Cropland,3947.7,95.8163265306123,AL
2,2012,Final,1987,CRP land,207.5,NA,AL
2,2012,Final,1987,Forest land,21143.4,90.8163265306122,AL
2,2012,Final,1987,Other rural land,492.4,36.3265306122449,AL
2,2012,Final,1987,Pastureland,3641.3,86.5816326530612,AL
2,2012,Final,1987,Rangeland,70.4,26.4795918367347,AL
2,2012,Final,1987,Total rural land,29502.7,59.8469387755102,AL
2,2012,Final,1992,Cropland,3130,97.3979591836735,AL
2,2012,Final,1992,CRP land,528.8,NA,AL
2,2012,Final,1992,Forest land,21235.8,92.2959183673469,AL
2,2012,Final,1992,Other rural land,607.9,43.1122448979592,AL
2,2012,Final,1992,Pastureland,3761.1,82.3469387755102,AL
2,2012,Final,1992,Rangeland,70.3,26.4795918367347,AL
2,2012,Final,1992,Total rural land,29333.9,63.7244897959184,AL
2,2012,Final,1997,Cropland,2916.3,106.989795918367,AL
2,2012,Final,1997,CRP land,522.2,NA,AL
2,2012,Final,1997,Forest land,21312.5,101.530612244898,AL
2,2012,Final,1997,Other rural land,594,38.9285714285714,AL
2,2012,Final,1997,Pastureland,3556.2,76.530612244898,AL
2,2012,Final,1997,Rangeland,71.6,26.9897959183673,AL
2,2012,Final,1997,Total rural land,28972.8,71.1734693877551,AL
2,2012,Final,2002,Cropland,2499.7,98.5204081632653,AL
2,2012,Final,2002,CRP land,466.1,NA,AL
2,2012,Final,2002,Forest land,21541.6,125.051020408163,AL
2,2012,Final,2002,Other rural land,512.3,53.469387755102,AL
2,2012,Final,2002,Pastureland,3482.1,110.30612244898,AL
2,2012,Final,2002,Rangeland,68.8,73.1122448979592,AL
2,2012,Final,2002,Total rural land,28570.6,112.80612244898,AL
2,2012,Final,2007,Cropland,2239.4,94.1326530612245,AL
2,2012,Final,2007,CRP land,330.7,NA,AL
2,2012,Final,2007,Forest land,21665.6,122.551020408163,AL
2,2012,Final,2007,Other rural land,579.7,56.9897959183673,AL
2,2012,Final,2007,Pastureland,3473.1,100.255102040816,AL
2,2012,Final,2007,Rangeland,68.8,73.1122448979592,AL
2,2012,Final,2007,Total rural land,28357.3,120.612244897959,AL
2,2012,Final,2012,Cropland,2322.5,110.918367346939,AL
2,2012,Final,2012,CRP land,309,NA,AL
2,2012,Final,2012,Forest land,21759.7,120.867346938776,AL
2,2012,Final,2012,Other rural land,631.4,57.3469387755102,AL
2,2012,Final,2012,Pastureland,3193.4,125.663265306122,AL
2,2012,Final,2012,Rangeland,68.8,73.1122448979592,AL
2,2012,Final,2012,Total rural land,28284.8,121.071428571429,AL
2,2012,Final,1982,Cropland,1245.3,71.8367346938776,AZ
2,2012,Final,1982,CRP land,NA,NA,AZ
2,2012,Final,1982,Forest land,4709.5,473.775510204082,AZ
2,2012,Final,1982,Other rural land,1963,269.69387755102,AZ
2,2012,Final,1982,Pastureland,81.6,25.7142857142857,AZ
2,2012,Final,1982,Rangeland,33179.3,478.163265306122,AZ
2,2012,Final,1982,Total rural land,41178.7,137.755102040816,AZ
2,2012,Final,1987,Cropland,1233,71.3265306122449,AZ
2,2012,Final,1987,CRP land,0,NA,AZ
2,2012,Final,1987,Forest land,4688.6,474.591836734694,AZ
2,2012,Final,1987,Other rural land,2025.3,273.877551020408,AZ
2,2012,Final,1987,Pastureland,74.7,20.1020408163265,AZ
2,2012,Final,1987,Rangeland,33212.8,475.255102040816,AZ
2,2012,Final,1987,Total rural land,41234.4,146.581632653061,AZ
2,2012,Final,1992,Cropland,1215,69.8979591836735,AZ
2,2012,Final,1992,CRP land,0,NA,AZ
2,2012,Final,1992,Forest land,4569.1,483.979591836735,AZ
2,2012,Final,1992,Other rural land,2048.3,263.520408163265,AZ
2,2012,Final,1992,Pastureland,78.5,17.5510204081633,AZ
2,2012,Final,1992,Rangeland,33593.2,490.867346938776,AZ
2,2012,Final,1992,Total rural land,41504.1,150.459183673469,AZ
2,2012,Final,1997,Cropland,1212.8,69.7448979591837,AZ
2,2012,Final,1997,CRP land,0,NA,AZ
2,2012,Final,1997,Forest land,4490.1,488.571428571429,AZ
2,2012,Final,1997,Other rural land,2182.5,260.408163265306,AZ
2,2012,Final,1997,Pastureland,72.5,17.0918367346939,AZ
2,2012,Final,1997,Rangeland,33252,515.663265306123,AZ
2,2012,Final,1997,Total rural land,41209.9,157.551020408163,AZ
2,2012,Final,2002,Cropland,936.1,77.2448979591837,AZ
2,2012,Final,2002,CRP land,0,NA,AZ
2,2012,Final,2002,Forest land,4359,495.408163265306,AZ
2,2012,Final,2002,Other rural land,2152.9,285.510204081633,AZ
2,2012,Final,2002,Pastureland,72.4,26.6326530612245,AZ
2,2012,Final,2002,Rangeland,33200.1,606.479591836735,AZ
2,2012,Final,2002,Total rural land,40720.5,190.714285714286,AZ
2,2012,Final,2007,Cropland,902.5,72.8061224489796,AZ
2,2012,Final,2007,CRP land,0,NA,AZ
2,2012,Final,2007,Forest land,4341.2,493.673469387755,AZ
2,2012,Final,2007,Other rural land,2139.7,278.826530612245,AZ
2,2012,Final,2007,Pastureland,71.5,25.6632653061224,AZ
2,2012,Final,2007,Rangeland,33031.6,605.510204081633,AZ
2,2012,Final,2007,Total rural land,40486.5,204.69387755102,AZ
2,2012,Final,2012,Cropland,890.1,76.4795918367347,AZ
2,2012,Final,2012,CRP land,0,NA,AZ
2,2012,Final,2012,Forest land,4342.8,494.030612244898,AZ
2,2012,Final,2012,Other rural land,2117.8,277.704081632653,AZ
2,2012,Final,2012,Pastureland,62,24.3367346938776,AZ
2,2012,Final,2012,Rangeland,32958,607.65306122449,AZ
2,2012,Final,2012,Total rural land,40370.7,212.704081632653,AZ
2,2012,Final,1982,Cropland,8043,226.632653061224,AR
2,2012,Final,1982,CRP land,NA,NA,AR
2,2012,Final,1982,Forest land,14865.9,230.204081632653,AR
2,2012,Final,1982,Other rural land,316.9,21.3265306122449,AR
2,2012,Final,1982,Pastureland,5581,166.530612244898,AR
2,2012,Final,1982,Rangeland,15.3,7.80612244897959,AR
2,2012,Final,1982,Total rural land,28822.1,52.1938775510204,AR
2,2012,Final,1987,Cropland,7915.7,223.112244897959,AR
2,2012,Final,1987,CRP land,95.4,NA,AR
2,2012,Final,1987,Forest land,14831.2,230.714285714286,AR
2,2012,Final,1987,Other rural land,329.5,20.1530612244898,AR
2,2012,Final,1987,Pastureland,5553.4,163.979591836735,AR
2,2012,Final,1987,Rangeland,15.3,7.80612244897959,AR
2,2012,Final,1987,Total rural land,28740.5,54.7959183673469,AR
2,2012,Final,1992,Cropland,7675,224.744897959184,AR
2,2012,Final,1992,CRP land,227.8,NA,AR
2,2012,Final,1992,Forest land,14870.9,230.357142857143,AR
2,2012,Final,1992,Other rural land,340,20.4081632653061,AR
2,2012,Final,1992,Pastureland,5489.6,164.387755102041,AR
2,2012,Final,1992,Rangeland,11.4,6.88775510204082,AR
2,2012,Final,1992,Total rural land,28614.7,56.3775510204082,AR
2,2012,Final,1997,Cropland,7586.4,221.071428571429,AR
2,2012,Final,1997,CRP land,230.4,NA,AR
2,2012,Final,1997,Forest land,14941,233.775510204082,AR
2,2012,Final,1997,Other rural land,361.2,26.6836734693878,AR
2,2012,Final,1997,Pastureland,5270.9,151.020408163265,AR
2,2012,Final,1997,Rangeland,11.4,6.88775510204082,AR
2,2012,Final,1997,Total rural land,28401.3,58.7755102040816,AR
2,2012,Final,2002,Cropland,7505.3,233.061224489796,AR
2,2012,Final,2002,CRP land,162.2,NA,AR
2,2012,Final,2002,Forest land,14918.8,236.581632653061,AR
2,2012,Final,2002,Other rural land,374.2,31.6836734693878,AR
2,2012,Final,2002,Pastureland,5241.1,159.744897959184,AR
2,2012,Final,2002,Rangeland,20.1,28.5714285714286,AR
2,2012,Final,2002,Total rural land,28221.7,64.4897959183673,AR
2,2012,Final,2007,Cropland,7301.9,225.918367346939,AR
2,2012,Final,2007,CRP land,134.3,NA,AR
2,2012,Final,2007,Forest land,15040.6,247.602040816327,AR
2,2012,Final,2007,Other rural land,390.9,34.1326530612245,AR
2,2012,Final,2007,Pastureland,5224.5,169.744897959184,AR
2,2012,Final,2007,Rangeland,20.1,28.5714285714286,AR
2,2012,Final,2007,Total rural land,28112.3,67.8061224489796,AR
2,2012,Final,2012,Cropland,7142,227.602040816327,AR
2,2012,Final,2012,CRP land,115.1,NA,AR
2,2012,Final,2012,Forest land,15067.7,245.051020408163,AR
2,2012,Final,2012,Other rural land,394.3,32.1428571428571,AR
2,2012,Final,2012,Pastureland,5296.3,172.244897959184,AR
2,2012,Final,2012,Rangeland,20.1,28.5714285714286,AR
2,2012,Final,2012,Total rural land,28035.5,68.7244897959184,AR
2,2012,Final,1982,Cropland,10507.6,283.928571428571,CA
2,2012,Final,1982,CRP land,NA,NA,CA
2,2012,Final,1982,Forest land,14952,390.408163265306,CA
2,2012,Final,1982,Other rural land,2268.8,223.520408163265,CA
2,2012,Final,1982,Pastureland,1263.8,106.071428571429,CA
2,2012,Final,1982,Rangeland,20772.3,582.857142857143,CA
2,2012,Final,1982,Total rural land,49764.5,180,CA
2,2012,Final,1987,Cropland,10240.2,311.122448979592,CA
2,2012,Final,1987,CRP land,68.9,NA,CA
2,2012,Final,1987,Forest land,14986.3,403.316326530612,CA
2,2012,Final,1987,Other rural land,2297,227.397959183673,CA
2,2012,Final,1987,Pastureland,1365.2,122.959183673469,CA
2,2012,Final,1987,Rangeland,20518.6,604.69387755102,CA
2,2012,Final,1987,Total rural land,49476.2,186.377551020408,CA
2,2012,Final,1992,Cropland,10003.9,293.724489795918,CA
2,2012,Final,1992,CRP land,185,NA,CA
2,2012,Final,1992,Forest land,14776.5,404.84693877551,CA
2,2012,Final,1992,Other rural land,2368.5,220.714285714286,CA
2,2012,Final,1992,Pastureland,1086.8,121.581632653061,CA
2,2012,Final,1992,Rangeland,19930.4,564.234693877551,CA
2,2012,Final,1992,Total rural land,48351.1,189.84693877551,CA
2,2012,Final,1997,Cropland,9682.5,309.795918367347,CA
2,2012,Final,1997,CRP land,173,NA,CA
2,2012,Final,1997,Forest land,14556.1,404.540816326531,CA
2,2012,Final,1997,Other rural land,2463.8,219.795918367347,CA
2,2012,Final,1997,Pastureland,1041.2,120.969387755102,CA
2,2012,Final,1997,Rangeland,19887,581.479591836735,CA
2,2012,Final,1997,Total rural land,47803.6,191.734693877551,CA
2,2012,Final,2002,Cropland,9401.3,335.561224489796,CA
