STUSPS,x,y
CA,-1708049.27375286,-667730.62177305
CO,-479502.23918561,-650958.51205269
ID,-1153546.31985923,32306.32235855
IL,917185.19937559,-491248.59787653
IA,536318.27034109,-303823.86203428
KY,1290485.00663238,-715474.04306729
LA,773189.19838237,-1515002.37788876
MD,1979093.98851914,-383219.79227287
MN,437251.56793241,158022.46839638
MO,657464.3960047,-708334.24737237
NY,1957067.06641316,68085.33521489
OR,-1624347.19346536,89002.60506845
TN,1227400.61085692,-915322.75160692
TX,66673.11727619,-1502504.39826192
VA,1848871.78078944,-594407.81122591
WI,789405.15967533,7178.092067
AL,1232107.79317923,-1261323.47172195
AZ,-1071597.03690807,-1116779.97148622
AR,690806.23760727,-1091268.11409038
IN,1164771.98402933,-470668.72015182
KS,141409.31852522,-721419.45720143
ME,2332556.9544757,491373.23544895
CT,2216157.88157934,-1386.55645684
DE,2082052.54861376,-355795.79014326
GA,1548181.65688716,-1221152.9274413
SC,1753536.05758926,-1032980.5928977
SD,-18018.39977532,-61747.55901952
MA,2268437.03434582,91544.43361884
MI,1154374.08767832,31062.85040631
MS,969184.91195757,-1302304.53331602
NE,17130.97602772,-384749.30902543
NV,-1419797.21500285,-486961.68559502
NH,2227566.13817914,249701.95317431
NJ,2112463.68229903,-207110.11392476
NM,-562400.85112344,-1155556.27463871
NC,1865942.42279081,-816579.41871901
ND,-34996.93095238,272465.63638353
RI,2306906.64513051,36609.32407733
OH,1447197.41665614,-371763.88416066
OK,227296.99254703,-1041559.86603549
PA,1839470.37012961,-207498.51628665
FL,1716480.21375009,-1645210.59408938
MT,-727314.01922289,271896.71290305
UT,-1000960.01140651,-562234.57558078
VT,2132369.51749827,261616.56205401
WA,-1521962.23976453,462519.74980427
WV,1666621.41103572,-510855.13531115
WY,-612977.32074573,-194411.9323986
HI,-283150.50383223,-2176063.83832804
PR,2357999.94021483,-2326959.29128349
